iter	Passed	Remaining
0	534	272373
1	702	178897
2	834	141261
3	935	118622
4	1050	10634455	1196	100726	6	1282	92357	7	1446	90948	8	1575	87869	9	1703	85341010	1809	82231111	1927	80161212	2068	79231313	2156	76551414	2280	75401515	2373	734216	2535	73685
17	2649	72561
18	2778	71942
19	2928	71896
20	3057	71330
21	3161	70280
22	3275	69506
23	3431	69622
24	3523	68489
25	3646	68021
26	3722	66729
27	3870	66774
28	3990	66327
2929	4061	65123030	4185	64813131	4266	63853232	4379	63443333	4502	63163434	4635	63043535	4722	62313636	4840	62003737	4965	61808
38	5032	60903939	5151	60654040	5267	603841	5400	60304
42	5571	60637
43	5691	60411
44	5813	60197
45	5906	59710
46	5991	59150
47	6066	58519
48	6162	58107
49	6294	58036
50	6455	58226
51	6550	57823
52	6638	57370
53	6745	57089
54	6868	56944
55	6968	56621
56	7110	56636
57	7227	56447
58	7339	56226
59	7453	56026
60	7555	55736
61	7655	55441
62	7796	55442
63	7909	55245
64	8023	55054
65	8141	54892
66	8225	54511
67	8381	54604
68	8484	54352
69	8612	54259
70	8753	54244
71	8843	53922
72	9257	55547
73	10121	59771
7474	10982	63847575	13192	75517676	15402	86817777	15597	86587878	15739	86077979	15915	85748080	16140	85688181	16222	84878282	16420	84678383	16531	84038484	16707	83736
85	16878	83412
86	17041	83058787	17238	82860
88	17354	82287
89	17460	81679090	17611	81281
91	17812	81129292	17971	80779393	18121	803894	18288	80082
95	18455	79780
96	18641	79560
97	18772	79111
98	18887	78600
99	19044	78273
100	19219	78020
101	19362	77640
102	19481	77170
103	19649	76898
104	19804	76577
105	19967	76290
106	20116	75954
107	20301	75754
108	20426	75332
109	20617	75159
110	20805	74975
111	20946	74620
112	21114	74367
113	21311	74215
114	21541	74178
115	21657	73747
116	21795	73395
117	21905	72956
118	22060	72669
119	22232	72440
120	22418	72257
121	22580	71999
122	22686	71563
123	22821	71225
124	23014	71069
125	23110	70615
126	23283	70401
127	23389	69985
128	23559	69764
129	23684	69413
130	23821	69100
131	23923	68690
132	24075	68426
133	24594	69193
134	25256	70342
135	25907	71436
136	27512	75105
137	30485	82398
138	30828	82505
139	30957	82037
140	31214	81909
141	31411	81626
142	31580	81270
143	31683	80748
144	31926	80586
145	32040	80101
146	32245	79846
147	32475	79653
148	32639	79298
149	32829	79009
150	32929	78508
151	33075	78118
152	33258	77820
153	33336	77281
154	33507	76959
155	33613	76492
156	33801	76213
157	33992	75944
158	34106	75506
159	34310	75269
160	34465	74925
161	34630	74605
162	34742	74173
163	34909	73864
164	35106	73617
165	35300	73364
166	35416	72953
167	35702	72892
168	35871	72592
169	36027	72266
170	36160	71897
171	36252	71450
172	36393	71104
173	36545	70780
174	36703	70470
175	36860	70160
176	36996	69812
177	37117	69438
178	37318	69216
179	37434	68838
180	37527	68419
181	37773	68283
182	37878	67891
183	37986	67508
184	38217	67345
185	38337	66987
186	38551	66794
187	38734	66549
188	38938	66340
189	39178	66190
190	39284	65816
191	39835	66185
192	40934	67446
193	42222	68992
194	43768	70928
195	45796	73601
196	45986	73298
197	46236	73090
198	46446	72820
199	46652	72544
200	46851	72258
201	47022	71931
20202	47204	7162203	47434	71384
204	47585	71029
205	47725	70662
206	47922	70379
207	48064	70017
208	48261	69737
20209	48294	692221210	48473	689221211	48626	685821212	48825	68310
213	48953	679421214	49095	6759215	49295	67324
21216	49331	668321217	49538	665821218	49743	663221219	49940	660522220	50057	656822221	50265	65436
222	50434	65135
223	50603	64835
224	50825	64604
225	50995	64308
226	51175	64025
227	51356	63745
228	51523	63448
229	51722	63190
230	51870	62873
231	52038	62580
232	52239	62328
233	52461	62101
234	52651	61837
235	52875	61613
236	53074	61360
237	53189	61011
238	53430	60808
239	53595	60517
240	53738	60204
241	53948	59968
242	54215	59793
243	54450	59583
244	54605	59286
245	54819	59053
246	55090	58881
247	56362	59771
248	58059	61090
249	59722	62350
250	61118	63309
251	61842	63560
252	61945	63169
253	62111	62845
254	62397	62642
255	62612	62368
256	62820	62087
257	62994	61773
258	63359	61646
259	63567	61367
260	63779	61091
261	63948	60775
262	64198	60537
263	64362	60217
264	64696	60057
265	64902	59778
266	64954	59359
267	65140	59063
268	65428	58861
269	65710	58652
270	65784	58259
271	65911	57914
272	66099	57624
273	66284	57333
274	66458	57033
275	66671	56767
276	66815	56443
277	67065	56209
278	67411	56055
279	67592	55763
280	67858	55542
281	68036	55249
282	68245	54982
283	68531	54776
284	68818	54572
285	69011	54292
286	69333	54114
287	69528	53836
288	69725	53560
289	70061	53392
290	70191	53065
291	72059	54044
292	73853	54949
293	76557	56506
294	77051	56417
295	77375	56201
296	77656	55954
297	77920	55694
298	78155	55414
299	78303	55073
300	78531	54789
301	78763	54508
302	78961	54204
303	79080	53847
304	79273	53542
305	79440	53220
306	79635	52917
307	79898	52660
308	80144	52392
309	80412	52138
310	80616	51843
311	80768	51515
312	80911	51183
313	81064	50858
314	81189	50517
315	81388	50223
316	81565	49917
317	81719	49596
318	81882	49283
319	82059	48979
320	82176	48640
321	82286	48298
322	82435	47980
323	82632	47692
324	82766	47367
325	82908	47049
326	83051	46732
327	83144	46388
328	83280	46069
329	83443	45767
330	83561	45441
331	83692	45123
332	83812	44800
333	83990	44509
334	84157	44213
335	84234	43872
336	84350	43551
337	84431	43215
338	84539	42893
339	84652	42575
340	84768	42260
341	84904	41955
342	85406	41831
343	86844	42159
344	88655	42657
345	91121	43453
346	91572	43279
347	91712	42957
348	91872	42645
349	92040	42338
350	92154	42007
351	92242	41666
352	92338	41330
353	92500	41024
354	92650	40713
355	92759	40386
356	92878	40065
357	93055	39769
358	93137	39434
359	93268	39120
360	93389	38804
361	93488	38480
362	93644	381836363	93761	378636364	93904	37561
365	94035	37254
366	94152	36942
367	94266	366336368	94387	363236369	94533	360237370	94654	357137371	94752	354037372	94905	351137373	95079	348237374	95196	3452375	95344	34232
376	95477	33936
377	95611	33641
378	95691	33327
379	95804	33027
380	95916	32727
381	96068	32442
382	96223	32158
383	96352	31866
384	96447	31564
